rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-11-01T10:41:03.215813,movie,Gods and Monsters,1998,,,tt0120684,3033,,https://www.themoviedb.org/movie/3033,1998-09-12,,,,,,,,,,,7.0
2024-11-01T10:41:03.427706,movie,The Kings of Summer,2013,,,tt2179116,156700,,https://www.themoviedb.org/movie/156700,2013-01-19,,,,,,,,,,,7.008
2024-11-01T10:41:03.637577,movie,The Party,1968,,,tt0063415,10794,,https://www.themoviedb.org/movie/10794,1968-04-04,,,,,,,,,,,7.271
2024-11-01T10:41:03.845093,movie,Drunken Angel,1948,,,tt0040979,25858,,https://www.themoviedb.org/movie/25858,1948-04-27,,,,,,,,,,,7.6
2024-11-01T10:41:04.055988,movie,South Park (Not Suitable for Children),2023,,,tt30505159,1219926,,https://www.themoviedb.org/movie/1219926,2023-12-20,,,,,,,,,,,7.5
2024-11-01T10:41:04.262869,movie,A Gang Story,2011,,,tt1741542,56415,,https://www.themoviedb.org/movie/56415,2011-11-10,,,,,,,,,,,6.809
2024-11-01T10:41:05.108264,movie,The Messenger,2009,,,tt0790712,28089,,https://www.themoviedb.org/movie/28089,2009-11-13,,,,,,,,,,,6.7
2024-11-01T10:41:05.315133,movie,Ghosts of War,2020,,,tt6508228,608195,,https://www.themoviedb.org/movie/608195,2020-07-03,,,,,,,,,,,6.251
2024-11-01T10:41:05.523025,movie,The Art of the Steal,2013,,,tt2172985,209247,,https://www.themoviedb.org/movie/209247,2013-09-20,,,,,,,,,,,6.2
2024-11-01T10:41:05.727904,movie,The Great Race,1965,,,tt0059243,11575,,https://www.themoviedb.org/movie/11575,1965-07-01,,,,,,,,,,,7.1
2024-11-01T10:41:05.942768,movie,Bad Actor,2024,,,tt21873280,1111869,,https://www.themoviedb.org/movie/1111869,2024-04-04,,,,,,,,,,,7.5
2024-11-01T10:41:06.153659,movie,Restore Point,2023,,,tt9362492,1071815,,https://www.themoviedb.org/movie/1071815,2023-09-21,,,,,,,,,,,6.038
2024-11-01T10:41:06.363546,movie,"They Shoot Horses, Don't They?",1969,,,tt0065088,28145,,https://www.themoviedb.org/movie/28145,1969-12-10,,,,,,,,,,,7.588
2024-11-01T10:41:06.570144,movie,The Emperor of Paris,2018,,,tt7025976,478820,,https://www.themoviedb.org/movie/478820,2018-12-19,,,,,,,,,,,6.3
2024-11-01T10:41:06.778023,movie,The Damned United,2009,,,tt1226271,21641,,https://www.themoviedb.org/movie/21641,2009-03-27,,,,,,,,,,,7.2
2024-11-01T10:41:06.984891,movie,Borsalino,1970,,,tt0065486,25251,,https://www.themoviedb.org/movie/25251,1970-05-19,,,,,,,,,,,6.9
2024-11-01T10:41:07.443642,movie,Topaz,1969,,,tt0065112,2370,,https://www.themoviedb.org/movie/2370,1969-12-17,,,,,,,,,,,6.0
2024-11-01T10:41:07.649126,movie,Ordinary People,1980,,,tt0081283,16619,,https://www.themoviedb.org/movie/16619,1980-09-19,,,,,,,,,,,7.458
2024-11-01T10:41:07.865992,movie,Barefoot,2014,,,tt2355495,242042,,https://www.themoviedb.org/movie/242042,2014-02-02,,,,,,,,,,,6.59
2024-11-01T10:41:08.079129,movie,Coffee and Cigarettes,2004,,,tt0379217,883,,https://www.themoviedb.org/movie/883,2004-03-12,,,,,,,,,,,6.924
2024-11-01T10:41:08.287002,movie,Genie,2023,,,tt24429218,1189198,,https://www.themoviedb.org/movie/1189198,2023-11-22,,,,,,,,,,,6.8
2024-11-01T10:41:08.499880,movie,Deep End,1970,,,tt0066122,59408,,https://www.themoviedb.org/movie/59408,1970-09-01,,,,,,,,,,,7.0
2024-11-01T10:41:08.705767,movie,The Long Walk Home,1990,,,tt0100046,51763,,https://www.themoviedb.org/movie/51763,1990-12-21,,,,,,,,,,,7.496
2024-11-01T10:41:08.909632,movie,The First Beautiful Thing,2010,,,tt1467273,36940,,https://www.themoviedb.org/movie/36940,2010-01-15,,,,,,,,,,,7.3
2024-11-01T10:41:09.117516,movie,Boy Missing,2016,,,tt4621630,403509,,https://www.themoviedb.org/movie/403509,2016-08-19,,,,,,,,,,,6.5
2024-11-01T10:41:09.335991,movie,New World,2013,,,tt2625030,165213,,https://www.themoviedb.org/movie/165213,2013-02-21,,,,,,,,,,,7.429
2024-11-01T10:41:10.210506,movie,Peaceful Warrior,2006,,,tt0438315,13689,,https://www.themoviedb.org/movie/13689,2006-03-30,,,,,,,,,,,7.4
2024-11-01T10:41:10.416070,movie,The Family Stone,2005,,,tt0356680,9043,,https://www.themoviedb.org/movie/9043,2005-12-15,,,,,,,,,,,6.3
2024-11-01T10:41:10.625950,movie,Before Night Falls,2000,,,tt0247196,5001,,https://www.themoviedb.org/movie/5001,2000-09-03,,,,,,,,,,,6.647
